Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
91,Exit short,2025-05-12 23:00,EOD Close 21:00 UTC,3242.2,2,6515.8,306,0.47,932,1.43,-30,-0.05,2598,0.26
91,Entry short,2025-05-12 08:00,Short,3257.9,2,6515.8,306,0.47,932,1.43,-30,-0.05,2598,0.26
92,Exit short,2025-05-13 03:10,Short Exit,3233.5,2,6442.8,-250,-0.39,22,0.03,-246,-0.38,2348,0.23
92,Entry short,2025-05-13 02:40,Short,3221.4,2,6442.8,-250,-0.39,22,0.03,-246,-0.38,2348,0.23
93,Exit short,2025-05-14 08:55,Short Exit,3243.2,2,6475.2,-120,-0.19,248,0.38,-116,-0.18,2228,0.22
93,Entry short,2025-05-14 03:35,Short,3237.6,2,6475.2,-120,-0.19,248,0.38,-116,-0.18,2228,0.22
94,Exit short,2025-05-14 23:00,EOD Close 21:00 UTC,3183.8,2,6408.6,402,0.63,656,1.02,-144,-0.22,2630,0.26
94,Entry short,2025-05-14 13:35,Short,3204.3,2,6408.6,402,0.63,656,1.02,-144,-0.22,2630,0.26
95,Exit short,2025-05-15 07:05,Short Exit,3134.3,2,6257,-124,-0.20,12,0.02,-150,-0.24,2506,0.25
95,Entry short,2025-05-15 07:00,Short,3128.5,2,6257,-124,-0.20,12,0.02,-150,-0.24,2506,0.25
96,Exit short,2025-05-16 12:50,Short Exit,3166.1,2,6383.2,502,0.79,506,0.79,-20,-0.03,3008,0.30
96,Entry short,2025-05-16 11:45,Short,3191.6,2,6383.2,502,0.79,506,0.79,-20,-0.03,3008,0.30
97,Exit short,2025-05-16 12:50,TP 3:1,3157.4,1,3157,-8,-0.03,0,0.00,-6,-0.02,2998,0.30
97,Entry short,2025-05-16 12:50,Short,3157,1,3157,-8,-0.03,0,0.00,-6,-0.02,2998,0.30
98,Exit short,2025-05-16 13:10,Short Exit,3169.8,1,3157,-132,-0.42,3,0.01,-130,-0.41,2868,0.29
